"","lepen","sarkozy","hollande","INSEE","PCwinner","winner"
"5581",20,20,30.48,"16095",30.48,"hollande"
"5582",16.67,25.83,34.17,"16096",34.17,"hollande"
"5583",18.9,26,29.23,"16097",29.23,"hollande"
"5584",28.13,31.25,16.67,"16098",31.25,"sarkozy"
"5585",18.97,18.97,39.66,"16099",39.66,"hollande"
"5586",16.95,14.19,33.47,"16100",33.47,"hollande"
"5587",20.95,22.47,34.29,"16101",34.29,"hollande"
"5588",14.25,27.73,31.14,"16102",31.14,"hollande"
"5589",12.94,18.82,36.47,"16103",36.47,"hollande"
"5590",17.16,25.08,21.78,"16104",25.08,"sarkozy"
"5591",24.49,22.45,27.04,"16105",27.04,"hollande"
"5592",14.28,21.93,32.89,"16106",32.89,"hollande"
"5593",14.59,23.84,28.11,"16107",28.11,"hollande"
"5594",25.58,34.88,29.07,"16108",34.88,"sarkozy"
"5595",25.75,16.71,30.41,"16109",30.41,"hollande"
"5596",21.32,23.53,29.41,"16110",29.41,"hollande"
"5597",21.26,25.98,25.2,"16111",25.98,"sarkozy"
"5598",22.73,11.36,34.09,"16112",34.09,"hollande"
"5599",18.94,17.23,36.79,"16113",36.79,"hollande"
"5600",11.82,31.82,30.91,"16114",31.82,"sarkozy"
"5601",20.54,24.11,25.89,"16115",25.89,"hollande"
"5602",18.1,36.21,25.43,"16116",36.21,"sarkozy"
"5603",20.99,28.4,29.63,"16117",29.63,"hollande"
"5604",10.71,22.62,27.38,"16118",27.38,"hollande"
"5605",22.77,23.24,29.44,"16119",29.44,"hollande"
"5606",18.71,21.04,33.4,"16120",33.4,"hollande"
"5607",27.66,21.99,21.99,"16121",27.66,"lepen"
"5608",15.69,28.43,34.31,"16122",34.31,"hollande"
"5609",21.25,32.58,26.91,"16123",32.58,"sarkozy"
"5610",16.88,19.22,36.1,"16124",36.1,"hollande"
"5611",28.09,28.65,20.22,"16125",28.65,"sarkozy"
"5612",19.44,18.06,37.5,"16127",37.5,"hollande"
"5613",12.86,12.14,32.14,"16128",32.14,"hollande"
"5614",23.91,30.43,14.49,"16129",30.43,"sarkozy"
"5615",18.55,30.65,25,"16130",30.65,"sarkozy"
"5616",13.06,17.52,33.12,"16131",33.12,"hollande"
"5617",18.69,16.72,31.16,"16132",31.16,"hollande"
"5618",22.12,30.77,19.23,"16133",30.77,"sarkozy"
"5619",12.54,10.52,42.94,"16134",42.94,"hollande"
"5620",13.02,30.7,35.35,"16135",35.35,"hollande"
"5621",19.68,21.74,36.61,"16136",36.61,"hollande"
"5622",17.37,29.11,27.23,"16137",29.11,"sarkozy"
"5623",17.39,23.42,34.32,"16138",34.32,"hollande"
"5624",18.4,33.6,22.4,"16139",33.6,"sarkozy"
"5625",17.34,23.39,31.85,"16140",31.85,"hollande"
"5626",19.73,18.39,30.94,"16141",30.94,"hollande"
"5627",14.77,14.09,38.93,"16142",38.93,"hollande"
"5628",18.18,23.95,27.72,"16143",27.72,"hollande"
"5629",14.89,20.61,35.5,"16144",35.5,"hollande"
